127.0.0.1 - - [14/Jun/2024:18:44:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:44:40 +0530] "GET /springmvc/WEB-INF/views/home.jsp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:44:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:45:13 +0530] "GET /springmvc/WEB-INF/classes/springmvc/controller/HomeController.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:45:59 +0530] "GET /springmvc/WEB-INF/classes/springmvc/controller/HomeController.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:48:55 +0530] "GET /springmvc/help HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:49:41 +0530] "GET /springmvc/about HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:50:10 +0530] "GET /springmvc/about HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:50:22 +0530] "GET /springmvc/home HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:52:20 +0530] "GET /springmvc/home HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:52:38 +0530] "GET /springmvc/help HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:52:49 +0530] "GET /springmvc/help HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:55:56 +0530] "GET /springmvc/demo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [14/Jun/2024:18:59:49 +0530] "GET /springmvc/demo HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:04:35 +0530] "GET /springmvc/demo HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:04:37 +0530] "GET /springmvc/demo HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:04:48 +0530] "GET /springmvc/demo HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:04:49 +0530] "GET /springmvc/demo HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:06:13 +0530] "GET /springmvc/demo HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:06:14 +0530] "GET /springmvc/demo HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Jun/2024:19:12:35 +0530] "GET /springmvc/demo HTTP/1.1" 500 10632
